component,componentCategory,prop,propType,normalizedPropType,propCategory,defaultValue,acceptsObject,objectExample,acceptsNode,enumValues,documentedValues,description,conditionalRelationship,childSupport
Box,Layout,direction,string,enum,layout,,false,,false,"""row"" | ""column"" | ""row-responsive"" | ""row-reverse"" | ""column-reverse""","""row"" | ""column"" | ""row-responsive"" | ""row-reverse"" | ""column-reverse""",The orientation to layout the child components in.,,
Box,Layout,elevation,string,enum,layout,,false,"""any custom elevation name in the current theme""",false,"""none"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","""none"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","Elevated height above the underlying context, indicated via a drop shadow.",,
Box,Layout,fill,string | boolean,union,state,,false,,false,"""horizontal"" | ""vertical"" | true | false","""horizontal"" | ""vertical"" | true | false",Whether the width and/or height should fill the container.,,
Box,Layout,flex,string | boolean | object,union,layout,,true,"{ grow: number, shrink: number }",false,"""grow"" | ""shrink"" | true | false","""grow"" | ""shrink"" | true | false",Whether flex-grow and/or flex-shrink is true and at a desired factor.,,
Box,Layout,focusIndicator,boolean,boolean,state,,false,,false,true | false,true | false,"When interactive via 'onClick', whether it should receive a focus outline.",,
Box,Layout,gap,string | object,union,layout,,true,"{row: 'xlarge', column: '30px' }",false,"""none"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size""","""none"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size""",,,
Box,Layout,gridArea,string,string,layout,,false,,false,"""a parent grid area name""","""a parent grid area name""",The name of the area to place this inside a parent Grid.,,
Box,Layout,height,string | object,union,layout,,true,"{ min: ""..."", max: ""..."" }",false,"""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""any CSS size""","""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""any CSS size""",A fixed height.,,
Box,Layout,hoverIndicator,boolean | string | object,union,behavior,,true,"{ color: ""..."", dark: ""..."", image: ""string"", position: ""string"", opacity: ""..."", repeat: ""..."", size: ""..."", light: ""string"" }",false,"true | false | ""background"" | ""string"" | boolean | number | ""weak"" | ""medium"" | ""strong"" | ""no-repeat"" | ""repeat"" | ""cover"" | ""contain"" | ""none"" | ""xsmall"" | ""small"" | ""large"" | ""xlarge""","true | false | ""background"" | ""string"" | boolean | number | ""weak"" | ""medium"" | ""strong"" | ""no-repeat"" | ""repeat"" | ""cover"" | ""contain"" | ""none"" | ""xsmall"" | ""small"" | ""large"" | ""xlarge""","When 'onClick' has been specified, the hover indicator to apply when the user is mousing over the box.",,
Box,Layout,justify,string,enum,layout,,false,,false,"""around"" | ""between"" | ""center"" | ""end"" | ""evenly"" | ""start"" | ""stretch""","""around"" | ""between"" | ""center"" | ""end"" | ""evenly"" | ""start"" | ""stretch""",How to align the contents along the main axis.,,
Box,Layout,margin,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""",The amount of margin around the component.,,
Box,Layout,onClick,function,function,event,,false,() => {},false,() => {},() => {},Click handler. Setting this property adds additional attributes to the DOM for accessibility.,,
Box,Layout,overflow,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."" }",false,"""auto"" | ""hidden"" | ""scroll"" | ""visible"" | ""any CSS overflow""","""auto"" | ""hidden"" | ""scroll"" | ""visible"" | ""any CSS overflow""",How to handle Box overflow.,,
Box,Layout,pad,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."", start: ""..."", end: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size""",The amount of padding around the Box contents.,,
Box,Layout,responsive,boolean | string,union,layout,,false,,false,"true | false | ""container""","true | false | ""container""","Whether margin, pad, round, and border sizes should be scaled for mobile environments. Additionally, you can set this property to 'responsive=""container""' to make the breakpoints relative to the width of a specific container, rather than the entire window.",,
Box,Layout,round,boolean | string | object,union,layout,,true,"{ size: ""..."", corner: ""..."" }",false,"true | false | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""full"" | ""any CSS size"" | ""top"" | ""left"" | ""bottom"" | ""right"" | ""top-left"" | ""top-right"" | ""bottom-left"" | ""bottom-right""","true | false | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""full"" | ""any CSS size"" | ""top"" | ""left"" | ""bottom"" | ""right"" | ""top-left"" | ""top-right"" | ""bottom-left"" | ""bottom-right""",How much to round the corners.,,
Box,Layout,skeleton,boolean | object,union,layout,,true,"{ animation: 'fadeIn', message: { start: 'Loading', end: 'Loading complete' }}",false,"true | false | 2 | ""Loading""","true | false | 2 | ""Loading""","Make the contents of the box 'skeletonized'. When this property is supplied, any components within the Box that are skeleton-aware will appear as gray boxes instead of their usual text or contents. This is intended as a placeholder representation instead of the real contents when it is still being loaded asynchronously. Some skeleton-aware components are Box (when a border or background is supplied), Text, Heading and Paragraph.",,
Box,Layout,tag,string | function,union,layout,,false,() => {},false,"""div"" | () => {}","""div"" | () => {}",The DOM tag to use for the element. NOTE: This is deprecated in favor of indicating the DOM tag via the 'as' property.,,
Box,Layout,width,string | object,union,layout,,true,"{ min: ""..."", max: ""..."" }",false,"""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""any CSS size""","""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""any CSS size""",A fixed width.,,
Box,Layout,wrap,boolean | string,union,layout,,false,,false,"true | false | ""reverse""","true | false | ""reverse""",Whether children can wrap if they can't all fit.,,
Card,Layout,(extends Box),BoxProps,object,layout,,false,,true,,,Card accepts all Box props. See Box component for full prop list.,,"CardBody, CardHeader, CardFooter children"
Footer,Layout,(extends Box),BoxProps,object,layout,,false,,true,,,Footer accepts all Box props. See Box component for full prop list.,,
Grid,Layout,a11yTitle,string,string,accessibility,,false,"""a user friendly label for screen readers""",false,,,"Custom label to be used by screen readers. When provided, an aria-label will be added to the element.",,
Grid,Layout,align,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""baseline"" | ""stretch","""start"" | ""center"" | ""end"" | ""baseline"" | ""stretch","How to align the contents along the cross axis. Any 'align-items' valid CSS value is accepted, including composed ones such 'first baseline' and 'unsafe start'.",,
Grid,Layout,alignContent,string,string,behavior,,false,,false,"""around"" | ""baseline"" | ""between"" | ""center"" | ""evenly"" | ""end"" | ""start"" | ""stretch"" | ""string""","""around"" | ""baseline"" | ""between"" | ""center"" | ""evenly"" | ""end"" | ""start"" | ""stretch"" | ""string""","How to align the contents when there is extra space in the cross axis. Any 'align-content' valid CSS value is accepted, including composed ones such 'first baseline' and 'unsafe start'.",,
Grid,Layout,alignSelf,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""","""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""",How to align along the cross axis when contained in a Box or along the column axis when contained in a Grid.,,
Grid,Layout,areas,array[object] | array[array[string]],array,behavior,,false,"[{ name: ""header"", start: [0, 0], end: [0, 2] }]",false,,,Grid areas.,requires columns+rows,
Grid,Layout,as,string | function,union,layout,,false,() => {},false,"""div"" | () => {}","""div"" | () => {}",The DOM tag or react component to use for the element.,,
Grid,Layout,border,boolean | string | object | array,union,layout,,true,"{ color: string | { dark: string, light: string }, size: ""medium"", style: ""solid"", side: ""all"" }",false,"true | false | ""top"" | ""left"" | ""bottom"" | ""right"" | ""start"" | ""end"" | ""horizontal"" | ""vertical"" | ""all"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""solid"" | ""dashed"" | ""dotted"" | ""double"" | ""groove"" | ""ridge"" | ""inset"" | ""outset"" | ""hidden""","true | false | ""top"" | ""left"" | ""bottom"" | ""right"" | ""start"" | ""end"" | ""horizontal"" | ""vertical"" | ""all"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""solid"" | ""dashed"" | ""dotted"" | ""double"" | ""groove"" | ""ridge"" | ""inset"" | ""outset"" | ""hidden""",Include a border.,,
Grid,Layout,columns,string | array | object,union,content,,true,"{ count: ""fit"", size: ""..."" }",false,"""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""full"" | ""flex"" | ""auto"" | ""1/2"" | ""1/3"" | ""2/3"" | ""1/4"" | ""2/4"" | ""3/4"" | ""fit"" | ""fill""","""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""full"" | ""flex"" | ""auto"" | ""1/2"" | ""1/3"" | ""2/3"" | ""1/4"" | ""2/4"" | ""3/4"" | ""fit"" | ""fill""",Column sizes.,paired with rows for explicit layout,
Grid,Layout,fill,string | boolean,union,state,,false,,false,"""horizontal"" | ""vertical"" | true | false","""horizontal"" | ""vertical"" | true | false",Whether the width and/or height should fill the container.,,
Grid,Layout,gap,string | object,union,layout,,true,"{ row: ""small"", column: ""medium"" }",false,"""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""none""","""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""none""",Gap sizes between rows and/or columns.,,
Grid,Layout,gridArea,string,string,layout,,false,,false,"""a parent grid area name""","""a parent grid area name""",The name of the area to place this inside a parent Grid.,,
Grid,Layout,height,string | object,union,layout,,true,"{ height: ""..."" min: ""..."" max: ""..."" }",false,"""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""string""","""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""string""",A fixed height.,,
Grid,Layout,justify,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""stretch""","""start"" | ""center"" | ""end"" | ""stretch""",How to align the individual items inside the grid when there is extra space in the row axis.,,
Grid,Layout,justifyContent,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""between"" | ""around"" | ""stretch""","""start"" | ""center"" | ""end"" | ""between"" | ""around"" | ""stretch""",How to align the contents along the row axis.,,
Grid,Layout,margin,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""",The amount of margin around the component.,,
Grid,Layout,pad,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."", start: ""..."", end: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size""","The amount of padding around the box contents. An object can be specified to distinguish horizontal padding, vertical padding, and padding on a particular side of the box",,
Grid,Layout,responsive,boolean,boolean,layout,,false,,false,true | false,true | false,Whether margin and pad sizes should be scaled for mobile environments.,,
Grid,Layout,rows,string | array,union,content,,false,,false,"""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""full"" | ""flex"" | ""auto"" | ""1/2"" | ""1/3"" | ""2/3"" | ""1/4"" | ""2/4"" | ""3/4""","""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""full"" | ""flex"" | ""auto"" | ""1/2"" | ""1/3"" | ""2/3"" | ""1/4"" | ""2/4"" | ""3/4""",Row sizes.,,
Grid,Layout,tag,string | function,union,layout,,false,() => {},false,"""div"" | () => {}","""div"" | () => {}",The DOM tag to use for the element. NOTE: This is deprecated in favor of indicating the DOM tag via the 'as' property.,,
Grid,Layout,width,string | object,union,layout,,true,"{ width: ""..."" min: ""..."" max: ""..."" }",false,"""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""string""","""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""string""",A fixed width.,,
Header,Layout,sticky,string,string,behavior,,false,,false,"""scrollup""","""scrollup""",Whether the Header should hide when the user is scrolling down and appear once the user scrolls back up.,,
Layer,Layout,animate,boolean,boolean,behavior,,false,,false,true | false,true | false,"Whether to animate the Layer content when it opens. This property is deprecated and will be removed in the next major version of grommet. Instead, use 'animation'.",,
Layer,Layout,animation,boolean | string,union,layout,,false,,false,"true | false | ""slide"" | ""fadeIn"" | ""none""","true | false | ""slide"" | ""fadeIn"" | ""none""",Animation transition of the Layer content when it opens and closes.,,
Layer,Layout,background,string | object,union,layout,,true,"{ color: ""neutral-1"", dark: true, image: ""url(//my.com/assets/img.png)"" position: ""bottom"", opacity: true, repeat: ""no-repeat"", size: ""cover"", light: ""string"", clip: ""text"", rotate: 45 }",false,"""neutral-1"" | ""url(//my.com/assets/img.png)"" | ""weak"" | ""medium"" | ""strong"" | boolean | number | any CSS for background-position | ""no-repeat"" | ""repeat"" | ""string"" | ""cover"" | ""contain"" | ""text"" | ""border-box"" | ""padding-box"" | ""content-box""","""neutral-1"" | ""url(//my.com/assets/img.png)"" | ""weak"" | ""medium"" | ""strong"" | boolean | number | any CSS for background-position | ""no-repeat"" | ""repeat"" | ""string"" | ""cover"" | ""contain"" | ""text"" | ""border-box"" | ""padding-box"" | ""content-box""",Either a color identifier to use for the background color.,,
Layer,Layout,full,boolean | string,union,behavior,,false,,false,"true | false | ""vertical"" | ""horizontal""","true | false | ""vertical"" | ""horizontal""",Whether the width and/or height should fill the current viewport size.,,
Layer,Layout,margin,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""",The amount of margin around the Layer.,,
Layer,Layout,modal,boolean,boolean,behavior,,false,,false,true | false,true | false,Whether there should be an overlay preventing interaction underneath the layer.,,
Layer,Layout,onClickOutside,function,function,event,,false,() => {},false,() => {},() => {},Function that will be invoked on modal layers when the user clicks outside the layer.,fired on outside click,
Layer,Layout,onEsc,function,function,event,,false,() => {},false,() => {},() => {},Function that will be called when the user presses the escape key inside the layer.,fired when Esc key pressed inside Layer,
Layer,Layout,plain,boolean,boolean,state,,false,,false,true | false,true | false,"Whether this is a plain Layer with no background color, border, or elevation.",,
Layer,Layout,position,string,enum,behavior,,false,,false,"""bottom"" | ""bottom-left"" | ""bottom-right"" | ""center"" | ""end"" | ""hidden"" | ""left"" | ""right"" | ""start"" | ""top"" | ""top-left"" | ""top-right""","""bottom"" | ""bottom-left"" | ""bottom-right"" | ""center"" | ""end"" | ""hidden"" | ""left"" | ""right"" | ""start"" | ""top"" | ""top-left"" | ""top-right""",Position of the layer content.,,
Layer,Layout,responsive,boolean,boolean,layout,,false,,false,true | false,true | false,"Whether the layer should take full width and height on mobile. If a target is provided, the Layer will take the full width and height of the target.",,
Layer,Layout,target,object,object,behavior,,true,,false,ref.current,ref.current,Target where the layer will be aligned to. This should be a React reference.,,
Main,Layout,(extends Box),BoxProps,object,layout,,false,,true,,,Main accepts all Box props. See Box component for full prop list.,,
Page,Layout,kind,string,enum,behavior,,false,,false,"""wide"" | ""narrow"" | ""full"" | string","""wide"" | ""narrow"" | ""full"" | string",The type of page layout. See associated theme props.,,
PageHeader,Layout,a11yTitle,string,string,accessibility,,false,"""a user friendly label for screen readers""",false,,,"Custom label to be used by screen readers. When provided, an aria-label will be added to the element.",,
PageHeader,Layout,actions,element,element,behavior,,false,"<Box direction=""row""> <Button label=""Delete"" /> <Button label=""Edit"" primary /> </Box>",true,,,Any page-level actions.,,"actions={<Button label=""Edit"" />}"
PageHeader,Layout,alignSelf,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""","""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""",How to align along the cross axis when contained in a Box or along the column axis when contained in a Grid.,,
PageHeader,Layout,gridArea,string,string,layout,,false,,false,"""a parent grid area name""","""a parent grid area name""",The name of the area to place this inside a parent Grid.,,
PageHeader,Layout,gridProps,object,object,behavior,,true,{},false,,,Any valid Grid prop.,,
PageHeader,Layout,level,string | number,union,layout,,false,,false,"""1"" | ""2"" | ""3"" | ""4"" | ""5"" | ""6"" | 1 | 2 | 3 | 4 | 5 | 6","""1"" | ""2"" | ""3"" | ""4"" | ""5"" | ""6"" | 1 | 2 | 3 | 4 | 5 | 6",The heading level. It corresponds to the number after the 'H' for the DOM tag. Set the level for semantic accuracy and accessibility. The sizing can be further adjusted using the size property.,,
PageHeader,Layout,margin,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""",The amount of margin around the component.,,
PageHeader,Layout,parent,element,element,behavior,,false,"<Anchor label=""Parent Page"" icon={<FormPrevious />} />",true,,,Contextual navigation or information about where the current page is located within an application.,,"parent={<Anchor label=""Back"" />}"
PageHeader,Layout,responsive,boolean,boolean,layout,,false,,false,true | false,true | false,Whether the layout should be adjusted for mobile environments.,,
PageHeader,Layout,size,string,enum,layout,,false,,false,"""small"" | ""medium"" | ""large""","""small"" | ""medium"" | ""large""","The possible sizes of PageHeader, which impacts the padding, title sizing, and subtitle sizing. 'size' will not impact parent or action sizing.",,
PageHeader,Layout,subtitle,string | element,union,behavior,,false,"""This page provides documentation for PageHeader.""",true,,,"Additional description about a page's purpose. When provided as a string, it will be rendered as a paragraph.",,
PageHeader,Layout,title,string | element,union,content,,false,"<Heading size=""xxlarge""> PageHeader Documentation </Heading>",true,"""PageHeader Documentation""","""PageHeader Documentation""","The title of the page. When provided as a string, it will be rendered as an h1.",,
Sidebar,Layout,footer,node,ReactNode,content,,false,,true,<SidebarFooter />,<SidebarFooter />,"If specified, a footer element for the Sidebar.",,
Sidebar,Layout,header,node,ReactNode,content,,false,,true,<SidebarHeader />,<SidebarHeader />,"If specified, an header element for the Sidebar.",,
Stack,Layout,a11yTitle,string,string,accessibility,,false,"""a user friendly label for screen readers""",false,,,"Custom label to be used by screen readers. When provided, an aria-label will be added to the element.",,
Stack,Layout,alignSelf,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""","""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""",How to align along the cross axis when contained in a Box or along the column axis when contained in a Grid.,,
Stack,Layout,anchor,string,enum,behavior,,false,,false,"""center"" | ""top"" | ""left"" | ""bottom"" | ""right"" | ""top-left"" | ""top-right"" | ""bottom-left"" | ""bottom-right""","""center"" | ""top"" | ""left"" | ""bottom"" | ""right"" | ""top-left"" | ""top-right"" | ""bottom-left"" | ""bottom-right""","Where to anchor children from. If not specified, children fill the guiding child's area.",,
Stack,Layout,fill,string | boolean,union,state,,false,,false,"""horizontal"" | ""vertical"" | true | false","""horizontal"" | ""vertical"" | true | false",Whether to expand to fill all of the available width and height in the parent container.,,
Stack,Layout,gridArea,string,string,layout,,false,,false,"""a parent grid area name""","""a parent grid area name""",The name of the area to place this inside a parent Grid.,,
Stack,Layout,guidingChild,number | string,union,behavior,,false,,false,"1 | ""first"" | ""last""","1 | ""first"" | ""last""",Which child to guide layout from. All other children will be positioned within that area. Defaults to 'first'.,,
Stack,Layout,interactiveChild,number | string,union,behavior,,false,,false,"1 | ""first"" | ""last""","1 | ""first"" | ""last""",Which child to restrict user interaction to. All other children will have user interaction disabled.,,
Stack,Layout,margin,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""",The amount of margin around the component.,,
Heading,Type,a11yTitle,string,string,accessibility,,false,"""a user friendly label for screen readers""",false,,,"Custom label to be used by screen readers. When provided, an aria-label will be added to the element.",,
Heading,Type,alignSelf,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""","""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""",How to align along the cross axis when contained in a Box or along the column axis when contained in a Grid.,,
Heading,Type,color,string | object,union,layout,,true,"{ dark: ""string"", light: ""string"" }",false,"""brand""","""brand""",A color identifier to use for the text color.,,
Heading,Type,fill,boolean,boolean,state,,false,,false,true | false,true | false,Whether the width should fill the container.,,
Heading,Type,gridArea,string,string,layout,,false,,false,"""a parent grid area name""","""a parent grid area name""",The name of the area to place this inside a parent Grid.,,
Heading,Type,level,string | number,union,layout,,false,,false,"""1"" | ""2"" | ""3"" | ""4"" | ""5"" | ""6"" | 1 | 2 | 3 | 4 | 5 | 6","""1"" | ""2"" | ""3"" | ""4"" | ""5"" | ""6"" | 1 | 2 | 3 | 4 | 5 | 6",The heading level. It corresponds to the number after the 'H' for the DOM tag. Set the level for semantic accuracy and accessibility. The sizing can be further adjusted using the size property.,,
Heading,Type,margin,string | object,union,layout,,true,"{ vertical: ""..."", horizontal: ""..."", top: ""..."", bottom: ""..."", left: ""..."", right: ""..."" }",false,"""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""","""none"" | ""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge""",The amount of margin around the component.,,
Heading,Type,overflowWrap,string,enum,behavior,,false,,false,"""normal"" | ""anywhere"" | ""break-word""","""normal"" | ""anywhere"" | ""break-word""","Specifies whether line breaks should be inserted within an otherwise unbreakable string, such as long word or URL, to prevent text from overflowing its container.",,
Heading,Type,responsive,boolean,boolean,layout,,false,,false,true | false,true | false,Whether the font size should be scaled for mobile environments.,,
Heading,Type,size,string,string,layout,,false,,false,"""small"" | ""medium"" | ""large"" | ""xlarge"" | ""string""","""small"" | ""medium"" | ""large"" | ""xlarge"" | ""string""","The font size is primarily driven by the chosen tag. But, it can be adjusted via this size property. The tag should be set for semantic correctness and accessibility. This size property allows for stylistic adjustments.",,
